year,number,qualification,sex
2011,166100,Diploma & Professional Qualification,female
2010,165100,Diploma & Professional Qualification,female
2009,149100,Diploma & Professional Qualification,female
2008,140500,Diploma & Professional Qualification,female
2007,131500,Diploma & Professional Qualification,female
2006,122400,Diploma & Professional Qualification,female
2005,126400,Diploma & Professional Qualification,female
2004,106900,Diploma & Professional Qualification,female
2003,99300,Diploma & Professional Qualification,female
2002,86100,Diploma & Professional Qualification,female
2001,84500,Diploma & Professional Qualification,female
2000,91200,Diploma & Professional Qualification,female
2021,534200,University,female
2020,496600,University,female
2019,470500,University,female
2018,440400,University,female
2017,420500,University,female
2016,398700,University,female
2015,374800,University,female
2014,362400,University,female
2013,350000,University,female
2012,320700,University,female
2011,307300,University,female
2010,288100,University,female
2009,266400,University,female
2008,246300,University,female
2007,226300,University,female
2006,212700,University,female
2005,180500,University,female
2004,172800,University,female
2003,158600,University,female
2002,140000,University,female
2001,121200,University,female
2000,105100,University,female
